mean_boundary_uncertainty,std_boundary_uncertainty,max_boundary_uncertainty,boundary_length,total_uncertainty
0.05467672273516655,0.018798913806676865,0.10878545045852661,331,0.0019371901
0.03102521412074566,0.005009181797504425,0.04290767014026642,132,0.0011079676
0.05445641279220581,0.015500803478062153,0.08857591450214386,449,0.005576338
0.08490701019763947,0.020522169768810272,0.1279420107603073,132,0.0025630975
0.13082681596279144,0.020214954391121864,0.1694047451019287,192,0.0050116363
0.04861605167388916,0.013175176456570625,0.08565445989370346,294,0.0011177459
0.04933945834636688,0.0126945273950696,0.08041304349899292,268,0.0029216134
0.06525915861129761,0.01976935751736164,0.1144648864865303,380,0.004515516
0.07312367111444473,0.04044151306152344,0.16839881241321564,291,0.0020820075
0.08574136346578598,0.021256640553474426,0.14627504348754883,279,0.003851386
0.15339581668376923,0.05082905665040016,0.2366015464067459,100,0.0032023115
0.06277769804000854,0.01823342777788639,0.11560013145208359,355,0.0053299214
0.06246580928564072,0.028347596526145935,0.12177345901727676,140,0.001104493
0.056628741323947906,0.015606560744345188,0.09172210842370987,387,0.0030638
0.053039588034152985,0.012916867621243,0.09337373822927475,156,0.0018764421
0.04339790344238281,0.007522715721279383,0.06760487705469131,212,0.0008226565
0.15707595646381378,0.05405651032924652,0.2809959948062897,494,0.007907089
0.04188123717904091,0.007885424420237541,0.06322860717773438,205,0.0022937283
0.06539560109376907,0.01737597957253456,0.11834999918937683,228,0.0021770785
0.07234761863946915,0.04457593336701393,0.1848796308040619,154,0.004620353
0.0,0.0,0.0,0,0.004912242
0.07567069679498672,0.03193216025829315,0.15170006453990936,352,0.003767076
0.061903759837150574,0.02475356124341488,0.12468039989471436,264,0.0008884348
0.05868103355169296,0.025048064067959785,0.12104272842407227,344,0.003459721
0.06833203136920929,0.03212180733680725,0.16748706996440887,344,0.0048173885
0.04219377785921097,0.009512864053249359,0.06630899757146835,216,0.0010368595
0.08191264420747757,0.04756399989128113,0.1773180365562439,239,0.0052698567
0.048697929829359055,0.015819299966096878,0.1009550467133522,578,0.0028348754
0.03893933445215225,0.0064075905829668045,0.056359436362981796,256,0.0010269926
0.05023723840713501,0.023647252470254898,0.11070690304040909,224,0.0025694028
0.0527157336473465,0.012816824950277805,0.08583461493253708,176,0.0020465078
0.05411076173186302,0.018298517912626266,0.09445815533399582,335,0.0035849635
0.07218999415636063,0.021441219374537468,0.11331041902303696,251,0.0035935165
0.04792935401201248,0.018472706899046898,0.09548316895961761,274,0.0024881873
0.0,0.0,0.0,0,0.0033425197
0.0726221352815628,0.021819444373250008,0.11429402232170105,440,0.0059762215
0.03299158439040184,0.004942848347127438,0.05209864675998688,312,0.0013356237
0.052303265780210495,0.01041170209646225,0.07917255908250809,193,0.0017764653
0.0,0.0,0.0,0,0.005508561
0.10934369266033173,0.07022886723279953,0.27537044882774353,387,0.0038900587
0.06961603462696075,0.018467407673597336,0.11141382157802582,344,0.004354387
0.046907030045986176,0.00915602222084999,0.07659076154232025,468,0.0021665473
0.05242250859737396,0.022852789610624313,0.10563930124044418,244,0.0018994719
0.04172908887267113,0.009650925174355507,0.07512888312339783,223,0.0013734445
0.047205738723278046,0.012698747217655182,0.08202885091304779,248,0.0009315875
0.05368677154183388,0.009197074919939041,0.07585017383098602,132,0.0010745777
0.0,0.0,0.0,0,0.002214584
0.09021925181150436,0.038319192826747894,0.15958262979984283,296,0.0040542623
0.0566691979765892,0.02188796177506447,0.12230601161718369,252,0.0017401094
0.04918694868683815,0.011031921952962875,0.08819425851106644,284,0.00094542076
0.14726629853248596,0.004465657286345959,0.15467345714569092,31,0.00384586
0.05888743698596954,0.022283917292952538,0.12265150249004364,356,0.0026286906
0.062270741909742355,0.01326920185238123,0.08955284208059311,164,0.0030412923
0.049007028341293335,0.009222492575645447,0.06937695294618607,256,0.0005709902
0.045123375952243805,0.011260240338742733,0.07695774734020233,163,0.0011822588
0.049661532044410706,0.019041109830141068,0.09637447446584702,252,0.002264566
0.052322469651699066,0.014145724475383759,0.12746843695640564,260,0.0011236595
0.039403654634952545,0.007276034448295832,0.05891362205147743,432,0.0012791771
0.03880392760038376,0.006690396461635828,0.05399661883711815,112,0.0015272899
0.04036011919379234,0.007461709436029196,0.06600546836853027,288,0.0012147336
0.0666067972779274,0.028859630227088928,0.15724678337574005,429,0.0030180681
0.03362513333559036,0.005836655385792255,0.04754909127950668,228,0.0012602686
0.08761613816022873,0.03196070343255997,0.16077016294002533,381,0.0036983213
0.041235003620386124,0.009186698123812675,0.06684670597314835,112,0.00093204284
0.05682527273893356,0.016152553260326385,0.08927369862794876,255,0.0021830252
0.04097001627087593,0.006328015122562647,0.057671207934617996,316,0.0013194683
0.040942855179309845,0.007199509534984827,0.05876649543642998,248,0.0008779141
0.042063064873218536,0.007728101219981909,0.0667736679315567,156,0.0020246527
0.06575493514537811,0.026581618934869766,0.12979860603809357,278,0.0021898025
0.036847759038209915,0.005492010153830051,0.05148712545633316,128,0.0008854446
0.07140667736530304,0.021898655220866203,0.12850996851921082,326,0.005084157
0.08431144803762436,0.04232798516750336,0.18811258673667908,447,0.0057926755
0.05315057933330536,0.021336769685149193,0.09896320849657059,234,0.0017698096
