mean_boundary_uncertainty,std_boundary_uncertainty,max_boundary_uncertainty,boundary_length,total_uncertainty
0.0338033027946949,0.009109873324632645,0.06318264454603195,320,0.0022104413
0.030438443645834923,0.003619575407356024,0.03827998414635658,120,0.0028236755
0.038647595793008804,0.007056158967316151,0.06000785157084465,457,0.0062505743
0.04195962846279144,0.009767157956957817,0.08396021276712418,152,0.0051409677
0.0,0.0,0.0,0,0.0066422396
0.05010584741830826,0.010439237579703331,0.07581819593906403,275,0.0019012192
0.03820114955306053,0.010797125287353992,0.0724048838019371,264,0.004350936
0.05470741540193558,0.014149891212582588,0.09706847369670868,364,0.0050794776
0.06510203331708908,0.02752509154379368,0.1206119954586029,229,0.004094659
0.08434176445007324,0.016108211129903793,0.12865397334098816,215,0.0039619594
0.06493399292230606,0.018164610490202904,0.09803430736064911,250,0.004940567
0.06184746325016022,0.02297876589000225,0.11925031989812851,694,0.008160816
0.058286331593990326,0.013945084996521473,0.09079419076442719,132,0.0024151988
0.06240478903055191,0.018230564892292023,0.1097380518913269,317,0.004197883
0.037900060415267944,0.004698900505900383,0.05385131388902664,148,0.0028554804
0.0396212562918663,0.0074766757898032665,0.06125354394316673,204,0.0023954601
0.12970811128616333,0.04148020222783089,0.2131575345993042,237,0.006831412
0.03922201693058014,0.007719010580331087,0.06931047886610031,195,0.0036223398
0.03671495243906975,0.007502279710024595,0.05406001955270767,199,0.003519515
0.07052499055862427,0.021428056061267853,0.1180787980556488,332,0.005878277
0.0,0.0,0.0,0,0.0065507265
0.03970929980278015,0.009645404294133186,0.06170911714434624,209,0.005165215
0.0482807457447052,0.012969410046935081,0.0929059162735939,264,0.0013024745
0.045554716140031815,0.0193408764898777,0.10040172189474106,359,0.0046589826
0.05086979269981384,0.011380884796380997,0.08984896540641785,251,0.0067165527
0.039512667804956436,0.008438977412879467,0.05698166415095329,219,0.0033805592
0.04595296457409859,0.016239406540989876,0.08102297782897949,276,0.004110422
0.052035801112651825,0.02587047778069973,0.14158231019973755,566,0.0060374155
0.036619339138269424,0.005291791632771492,0.04922464117407799,252,0.0024834706
0.031872041523456573,0.007272530347108841,0.05478984862565994,224,0.0045013456
0.06377092003822327,0.0070464215241372585,0.07823178917169571,168,0.0037815263
0.03605486825108528,0.007169643882662058,0.054079193621873856,306,0.0052917204
0.06332682073116302,0.021186547353863716,0.11341779679059982,232,0.0055434946
0.05650900676846504,0.02073110081255436,0.1176375150680542,312,0.0037346317
0.0,0.0,0.0,0,0.0040157577
0.07305248081684113,0.018301494419574738,0.1259736567735672,506,0.007950398
0.030395960435271263,0.004412000998854637,0.04607420787215233,304,0.0031380546
0.052813202142715454,0.011048385873436928,0.0866861343383789,180,0.0028391203
0.0,0.0,0.0,0,0.0056562424
