mean_boundary_uncertainty,std_boundary_uncertainty,max_boundary_uncertainty,boundary_length,total_uncertainty
0.027552714571356773,0.007800878491252661,0.054463621228933334,312,0.0028415406
0.031045718118548393,0.005324776284396648,0.048127833753824234,112,0.0046477024
0.03858637437224388,0.011296650394797325,0.06693481653928757,454,0.008167377
0.0,0.0,0.0,0,0.004906718
0.0,0.0,0.0,0,0.0073071825
0.03843364119529724,0.00967947207391262,0.06365009397268295,280,0.0022344352
0.030598338693380356,0.00849909707903862,0.054090458899736404,262,0.0056010187
0.053671322762966156,0.02229967527091503,0.11756578087806702,442,0.005426774
0.04149448499083519,0.013219805434346199,0.08086995780467987,307,0.0039376197
0.058464646339416504,0.011520473286509514,0.07997984439134598,234,0.003786354
0.0,0.0,0.0,0,0.0038643535
0.04125688597559929,0.009999523870646954,0.06624014675617218,410,0.0068563065
0.05349015071988106,0.014648178592324257,0.08742054551839828,76,0.0029194583
0.031235311180353165,0.008993600495159626,0.05070715397596359,308,0.0037921024
0.03470098227262497,0.004323081113398075,0.045396607369184494,144,0.0033796448
0.03707875311374664,0.007207367569208145,0.05668048933148384,208,0.0024027429
0.10695309937000275,0.040899813175201416,0.19794899225234985,433,0.00775008
0.031798794865608215,0.005076203495264053,0.04613595828413963,200,0.0051394594
0.027239935472607613,0.004587620962411165,0.03721866384148598,196,0.0041150283
0.05169086903333664,0.015615343116223812,0.08635170757770538,306,0.0059704944
0.10330989211797714,0.004930135793983936,0.1098269447684288,15,0.006937538
0.034269098192453384,0.01029751356691122,0.062070801854133606,240,0.005016373
0.042697723954916,0.006946619134396315,0.06760437786579132,283,0.0012249688
0.031129973009228706,0.00638823676854372,0.05529720336198807,324,0.004098938
0.05119699612259865,0.010701472871005535,0.08002567291259766,218,0.007135513
0.03701291233301163,0.005451171658933163,0.05316312238574028,220,0.0021393602
0.045113932341337204,0.01978679746389389,0.08532968163490295,309,0.0048924196
0.05137660726904869,0.02636873908340931,0.12875311076641083,460,0.0055882223
0.03201533481478691,0.006445986684411764,0.050153058022260666,256,0.002587857
0.03465556725859642,0.00984940491616726,0.06948621571063995,220,0.004391022
0.05012013018131256,0.011829468421638012,0.0803132951259613,185,0.004963295
0.035633429884910583,0.013026188127696514,0.0649663433432579,324,0.0072900853
0.06936752051115036,0.015425898134708405,0.09064516425132751,145,0.008167026
0.04247569665312767,0.008131012320518494,0.05922410637140274,271,0.0037148772
0.04395246133208275,0.017492864280939102,0.0759146437048912,206,0.005606083
0.054518990218639374,0.020486151799559593,0.10685836523771286,614,0.007805204
0.027128085494041443,0.004599105101078749,0.03934800252318382,314,0.004127004
0.041591063141822815,0.007080914918333292,0.05867334082722664,184,0.0039801723
0.06884538382291794,0.01300843060016632,0.1013907715678215,179,0.0073701865
0.04966399818658829,0.02254192717373371,0.10852207243442535,260,0.0045567993
0.054867032915353775,0.022594712674617767,0.10625526309013367,356,0.0062291822
0.041800159960985184,0.011900459416210651,0.07805795222520828,466,0.0035857537
0.045631539076566696,0.019480597227811813,0.09991506487131119,233,0.0029046792
0.03542356938123703,0.008325302042067051,0.05959346890449524,214,0.003985112
0.03759876266121864,0.010898086242377758,0.06749594956636429,236,0.0026337334
0.04186262935400009,0.008041241206228733,0.06368503719568253,135,0.0036094056
0.0,0.0,0.0,0,0.004523239
0.043078336864709854,0.012403720058500767,0.07751117646694183,284,0.0046161264
0.038426145911216736,0.014065583236515522,0.08512169867753983,218,0.0025567268
0.04764478653669357,0.012381641194224358,0.0899680033326149,292,0.0033479303
0.03831149637699127,0.011697482317686081,0.06321441382169724,356,0.0059542432
0.03410414606332779,0.008375591598451138,0.06208602711558342,344,0.0034755212
0.0,0.0,0.0,0,0.006008689
0.04397354647517204,0.009349009953439236,0.06966996192932129,264,0.0009082889
0.03560726344585419,0.008100882172584534,0.057400308549404144,164,0.0037892724
0.03801058605313301,0.012104252353310585,0.07157333195209503,252,0.0053562284
0.0382547453045845,0.011117905378341675,0.07011821866035461,244,0.0020452875
0.03230851888656616,0.006179805379360914,0.052582163363695145,432,0.0032471754
0.03228425234556198,0.0053414227440953255,0.04762718454003334,104,0.004138141
0.038884297013282776,0.005669092759490013,0.054331228137016296,292,0.0022715402
0.03893939033150673,0.0157519169151783,0.08966293185949326,446,0.0043159495
0.03289276361465454,0.007169944234192371,0.05001382157206535,228,0.0032215465
0.03948873281478882,0.009746970608830452,0.06373041868209839,111,0.0051876274
